epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.634,1.10386,2.49736,1.43029,0.70016,0.34442,0.39978,0.26956,0.98956,2.43631,1.29087,0.000467346,0.000467346,0.000467346
2,283.187,1.02214,1.94833,1.31086,0.52219,0.68746,0.58104,0.36372,1.17945,2.06216,1.45096,0.000850255,0.000850255,0.000850255
3,420.623,1.0696,1.88145,1.33454,0.29676,0.60604,0.50486,0.293,1.27469,2.46667,1.63965,0.00113885,0.00113885,0.00113885
4,562.424,0.9813,1.71732,1.2728,0.47926,0.63356,0.58335,0.37664,1.09241,1.93821,1.28307,0.00100459,0.00100459,0.00100459
5,718.812,0.90618,1.48873,1.2032,0.54726,0.73687,0.67393,0.43472,1.05613,1.51058,1.29363,0.000863116,0.000863116,0.000863116
6,868.917,0.81496,1.30295,1.15298,0.51267,0.72654,0.67889,0.49845,0.85664,1.37776,1.11901,0.000721645,0.000721645,0.000721645
7,1015.19,0.75802,1.20238,1.11079,0.57084,0.66383,0.64363,0.47128,0.8221,1.35046,1.11521,0.000580174,0.000580174,0.000580174
8,1163.27,0.72709,1.09714,1.07933,0.73924,0.724,0.80427,0.62653,0.69949,1.19879,1.02605,0.000438703,0.000438703,0.000438703
9,1305.71,0.62802,0.98801,1.04488,0.77003,0.79915,0.86959,0.70321,0.70021,0.98156,1.02233,0.000297232,0.000297232,0.000297232
10,1447.76,0.59785,0.91072,1.01491,0.65937,0.82623,0.84188,0.69667,0.62249,1.01309,0.99237,0.000155761,0.000155761,0.000155761
